Key;Author-Key;Author;Author-URL;Title;Co-Authors;Co-Author-URLs;Pagination;Year;Venue
3;340;Dmitry M. Rusakov;https://dblp.uni-trier.de/pid/65/922.html;On the Equivalence Problem for Programs with Mode Switching.;Rimma I. Podlovchenko, Dmitry M. Rusakov, Vladimir A. Zakharov;['https://dblp.uni-trier.de/pid/61/3416.html', 'https://dblp.uni-trier.de/pid/84/5934.html'];351-352;2005;CIAA
10;710;Pierre Peterlongo;https://dblp.uni-trier.de/pid/99/1614.html;Approximate Hashing for Bioinformatics.;Guy Arbitman, Shmuel T. Klein, Pierre Peterlongo, Dana Shapira;['https://dblp.uni-trier.de/pid/292/6337.html', 'https://dblp.uni-trier.de/pid/k/ShmuelTomiKlein.html', 'https://dblp.uni-trier.de/pid/02/222.html'];178-189;2021;CIAA
50;710;Pierre Peterlongo;https://dblp.uni-trier.de/pid/99/1614.html;Finding Common Motifs with Gaps Using Finite Automata.;Pavlos Antoniou, Jan Holub, Costas S. Iliopoulos, Borivoj Melichar, Pierre Peterlongo;['https://dblp.uni-trier.de/pid/22/6627.html', 'https://dblp.uni-trier.de/pid/h/JHolub.html', 'https://dblp.uni-trier.de/pid/i/CSIliopoulos.html', 'https://dblp.uni-trier.de/pid/78/5300.html'];69-77;2006;CIAA
93;205;Ömer Egecioglu;https://dblp.uni-trier.de/pid/e/OEgecioglu.html;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;Ryan Dixon, Ömer Egecioglu, Timothy Sherwood;['https://dblp.uni-trier.de/pid/90/952.html', 'https://dblp.uni-trier.de/pid/23/3778.html'];141-150;2008;CIAA
228;655;Luca Aceto;https://dblp.uni-trier.de/pid/a/LucaAceto.html;On the Complexity of Determinizing Monitors.;Luca Aceto, Antonis Achilleos, Adrian Francalanza, Anna Ingólfsdóttir, Sævar Örn Kjartansson;['https://dblp.uni-trier.de/pid/44/7660.html', 'https://dblp.uni-trier.de/pid/91/2771.html', 'https://dblp.uni-trier.de/pid/i/AIngolfsdottir.html', 'https://dblp.uni-trier.de/pid/190/7312.html'];1-13;2017;CIAA
430;74;Jonathan Lee;https://dblp.uni-trier.de/pid/30/3557-5.html;Enumerating Regular Expressions and Their Languages.;Jonathan Lee, Jeffrey O. Shallit;['https://dblp.uni-trier.de/pid/s/JeffreyShallit.html'];2-22;2004;CIAA
442;439;Antonio Di Stasio;https://dblp.uni-trier.de/pid/157/8638.html;Solving Parity Games: Explicit vs Symbolic.;Antonio Di Stasio, Aniello Murano, Moshe Y. Vardi;['https://dblp.uni-trier.de/pid/41/1330.html', 'https://dblp.uni-trier.de/pid/v/MosheYVardi.html'];159-172;2018;CIAA
444;439;Antonio Di Stasio;https://dblp.uni-trier.de/pid/157/8638.html;Solving Parity Games Using an Automata-Based Algorithm.;Antonio Di Stasio, Aniello Murano, Giuseppe Perelli, Moshe Y. Vardi;['https://dblp.uni-trier.de/pid/41/1330.html', 'https://dblp.uni-trier.de/pid/08/10670.html', 'https://dblp.uni-trier.de/pid/v/MosheYVardi.html'];64-76;2016;CIAA
451;593;Taylor J. Smith;https://dblp.uni-trier.de/pid/176/5446.html;Degrees of Restriction for Two-Dimensional Automata.;Taylor J. Smith, Kai Salomaa;['https://dblp.uni-trier.de/pid/02/6009.html'];77-89;2021;CIAA
457;593;Taylor J. Smith;https://dblp.uni-trier.de/pid/176/5446.html;Decision Problems for Restricted Variants of Two-Dimensional Automata.;Taylor J. Smith, Kai Salomaa;['https://dblp.uni-trier.de/pid/02/6009.html'];222-234;2019;CIAA
508;747;Joseph Le Roux;https://dblp.uni-trier.de/pid/25/5993.html;Lexical Disambiguation with Polarities and Automata.;Guillaume Bonfante, Joseph Le Roux, Guy Perrier;['https://dblp.uni-trier.de/pid/98/2498.html', 'https://dblp.uni-trier.de/pid/70/3797.html'];283-284;2006;CIAA
657;317;Jason Eisner;https://dblp.uni-trier.de/pid/37/3263.html;A Class of Rational n-WFSM Auto-intersections.;André Kempe, Jean-Marc Champarnaud, Jason Eisner, Franck Guingne, Florent Nicart;['https://dblp.uni-trier.de/pid/73/3270.html', 'https://dblp.uni-trier.de/pid/30/6143.html', 'https://dblp.uni-trier.de/pid/50/6237.html', 'https://dblp.uni-trier.de/pid/04/692.html'];188-198;2005;CIAA
755;602;Hans-Jörg Kreowski;https://dblp.uni-trier.de/pid/k/JHKreowski.html;Computing Raster Images from Grid Picture Grammars.;Frank Drewes, Sigrid Ewert, Renate Klempien-Hinrichs, Hans-Jörg Kreowski;['https://dblp.uni-trier.de/pid/d/FrankDrewes.html', 'https://dblp.uni-trier.de/pid/28/3680.html', 'https://dblp.uni-trier.de/pid/10/624.html'];113-121;2000;CIAA
889;252;Taro Suzuki;https://dblp.uni-trier.de/pid/59/6488.html;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.;Satoshi Okui, Taro Suzuki;['https://dblp.uni-trier.de/pid/02/624.html'];231-240;2010;CIAA
890;252;Taro Suzuki;https://dblp.uni-trier.de/pid/59/6488.html;Hedge Pattern Partial Derivative.;Taro Suzuki, Satoshi Okui;['https://dblp.uni-trier.de/pid/02/624.html'];125-134;2009;CIAA
903;481;Tomás Vávra;https://dblp.uni-trier.de/pid/68/8774.html;Analytic Functions Computable by Finite State Transducers.;Petr Kurka, Tomás Vávra;['https://dblp.uni-trier.de/pid/72/4846.html'];252-263;2014;CIAA
917;878;Kimmo Koskenniemi;https://dblp.uni-trier.de/pid/17/6905.html;A New Method for Compiling Parallel Replacement Rules.;Anssi Yli-Jyrä, Kimmo Koskenniemi;['https://dblp.uni-trier.de/pid/06/3334.html'];320-321;2007;CIAA
973;23;Gian Luigi Ferrari;https://dblp.uni-trier.de/pid/f/GianLuigiFerrari.html;Towards Nominal Context-Free Model-Checking.;Pierpaolo Degano, Gian Luigi Ferrari, Gianluca Mezzetti;['https://dblp.uni-trier.de/pid/90/1344.html', 'https://dblp.uni-trier.de/pid/96/10107.html'];109-121;2013;CIAA
976;23;Gian Luigi Ferrari;https://dblp.uni-trier.de/pid/f/GianLuigiFerrari.html;Nominal Automata for Resource Usage Control.;Pierpaolo Degano, Gian Luigi Ferrari, Gianluca Mezzetti;['https://dblp.uni-trier.de/pid/90/1344.html', 'https://dblp.uni-trier.de/pid/96/10107.html'];125-137;2012;CIAA
1089;194;Gloria Inés Alvarez;https://dblp.uni-trier.de/pid/97/8237.html;Learning Regular Languages Using Nondeterministic Finite Automata.;Pedro García, Manuel Vazquez de Parga, Gloria Inés Alvarez, José Ruiz;['https://dblp.uni-trier.de/pid/04/2667-1.html', 'https://dblp.uni-trier.de/pid/87/3323.html', 'https://dblp.uni-trier.de/pid/39/386-1.html'];92-101;2008;CIAA
1092;194;Gloria Inés Alvarez;https://dblp.uni-trier.de/pid/97/8237.html;Is Learning RFSAs Better Than Learning DFAs?.;Pedro García, José Ruiz, Antonio Cano, Gloria Inés Alvarez;['https://dblp.uni-trier.de/pid/04/2667-1.html', 'https://dblp.uni-trier.de/pid/39/386-1.html', 'https://dblp.uni-trier.de/pid/32/618.html'];343-344;2005;CIAA
1133;301;Maria Madonia;https://dblp.uni-trier.de/pid/74/2120.html;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.;Marcella Anselmo, Dora Giammarresi, Maria Madonia;['https://dblp.uni-trier.de/pid/91/3140.html', 'https://dblp.uni-trier.de/pid/13/1566.html'];290-302;2007;CIAA
1137;301;Maria Madonia;https://dblp.uni-trier.de/pid/74/2120.html;Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .;Marcella Anselmo, Maria Madonia;['https://dblp.uni-trier.de/pid/91/3140.html'];43-53;2005;CIAA
1183;751;Karen Rudie;https://dblp.uni-trier.de/pid/23/2503.html;A Summary of Some Discrete-Event System Control Problems.;Karen Rudie;[];4-16;2010;CIAA
1219;244;José Alves;https://dblp.uni-trier.de/pid/54/7174.html;FAdo and GUItar.;André Almeida, Marco Almeida, José Alves, Nelma Moreira, Rogério Reis;['https://dblp.uni-trier.de/pid/00/7175.html', 'https://dblp.uni-trier.de/pid/53/3527.html', 'https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];65-74;2009;CIAA
