Authors;Title;Year;Pagination
[125, 339, 340];On the Equivalence Problem for Programs with Mode Switching.;2005;351-352
[580, 581, 709, 710];Approximate Hashing for Bioinformatics.;2021;178-189
[140, 241, 710, 713, 714];Finding Common Motifs with Gaps Using Finite Automata.;2006;69-77
[204, 205, 206];Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;2008;141-150
[655, 656, 657, 658, 659];On the Complexity of Determinizing Monitors.;2017;1-13
[34, 74];Enumerating Regular Expressions and Their Languages.;2004;2-22
[439, 440, 441];Solving Parity Games: Explicit vs Symbolic.;2018;159-172
[439, 440, 441, 630];Solving Parity Games Using an Automata-Based Algorithm.;2016;64-76
[3, 593];Degrees of Restriction for Two-Dimensional Automata.;2021;77-89
[3, 593];Decision Problems for Restricted Variants of Two-Dimensional Automata.;2019;222-234
[746, 747, 748];Lexical Disambiguation with Polarities and Automata.;2006;283-284
[58, 87, 316, 317, 318];A Class of Rational n-WFSM Auto-intersections.;2005;188-198
[403, 574, 601, 602];Computing Raster Images from Grid Picture Grammars.;2000;113-121
[252, 253];Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.;2010;231-240
[252, 253];Hedge Pattern Partial Derivative.;2009;125-134
[480, 481];Analytic Functions Computable by Finite State Transducers.;2014;252-263
[124, 878];A New Method for Compiling Parallel Replacement Rules.;2007;320-321
[22, 23, 24];Towards Nominal Context-Free Model-Checking.;2013;109-121
[22, 23, 24];Nominal Automata for Resource Usage Control.;2012;125-137
[192, 193, 194, 195];Learning Regular Languages Using Nondeterministic Finite Automata.;2008;92-101
[192, 194, 195, 309];Is Learning RFSAs Better Than Learning DFAs?.;2005;343-344
[166, 300, 301];Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.;2007;290-302
[300, 301];Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .;2005;43-53
[751];A Summary of Some Discrete-Event System Control Problems.;2010;4-16
[0, 1, 182, 243, 244];FAdo and GUItar.;2009;65-74
[330, 613, 614, 615];A Package for the Implementation of Block Codes as Finite Automata.;2000;279-292
[35, 90];Semilinearity of Families of Languages.;2018;211-222
[35, 90];On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;2016;138-149
[35];On the Ambiguity, Finite-Valuedness, and Lossiness Problems in Acceptors and Transducers.;2014;211-225
[35, 177];Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;2013;193-207
[35, 36];How to Synchronize the Heads of a Multitape Automaton.;2012;192-204
[35];On the Containment and Equivalence Problems for GSMs, Transducers, and Linear CFGs.;2011;190-202
[35, 506, 523];Relational String Verification Using Multi-track Automata.;2010;290-299
[35, 179];On Deterministic Catalytic Systems.;2005;163-175
[35];Automata-Theoretic Techniques for Analyzing Infinite-State Systems.;2004;1
[35, 146, 506, 683];Past Pushdown Timed Automata.;2001;74-86
[35];Reachability and Safety in Queue Systems.;2000;145-156
[35, 525];Generalizing the Discrete Timed Automaton.;2000;157-169
[121, 122, 497];Robust Spelling Correction.;2005;319-328
[121, 497, 504, 535];Robust Parsing Using Dynamic Programming.;2003;258-268
[123, 496, 497];Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;2002;128-137
[0, 1, 182];Incremental DFA Minimisation.;2010;39-48
[0, 1, 182, 243, 244];FAdo and GUItar.;2009;65-74
[0, 1, 182];Antimirov and Mosses's Rewrite System Revisited.;2008;46-56
[42, 478, 479];Kleene Closure on Regular and Prefix-Free Languages.;2014;226-237
[41, 705, 706, 707];Ambiguity Hierarchies for Weighted Tree Automata.;2021;140-151
[4, 356];Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;2013;72-83
[643, 644];Derivative-Based Diagnosis of Regular Expression Ambiguity.;2016;260-272
[213, 214];On Complexity of Two Dimensional Languages Generated by Transducers.;2008;181-190
[140, 714, 838, 839, 840];Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;2011;273-281
[60, 62, 389];Enhancing Approximations for Regular Reachability Analysis.;2013;331-339
[60, 61, 62];On Positive TAGED with a Bounded Number of Constraints.;2012;329-336
[60, 61, 62];Loops and Overloops for Tree Walking Automata.;2011;166-177
[60, 62, 254];TAGED Approximations for Temporal Properties Model-Checking.;2009;135-144
[9];Typed Linear Algebra for Weigthed (Probabilistic) Automata.;2012;52-65
[84, 585];Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).;2019;70-82
[0, 1, 111, 638];Implementation of Code Properties via Transducers.;2016;189-201
[792, 793];Implementing WS1S via Finite Automata: Performance Issues.;1997;75-86
[792, 793];Implementing WS1S via Finite Automata.;1996;50-63
[268];Efficient Parsing Using Filtered-Popping Recursive Transition Networks.;2009;241-244
[285, 286, 287];Proving Sequential Function Chart Programs Using Automata.;1998;149-163
[454];One-Counter Automata for Parsing and Language Approximation.;2018;299-311
[141, 142, 143];Size Reduction of Multitape Automata.;2005;307-318
[141, 142, 143];Size Reduction of Multitape Automata.;2004;329-330
[141, 143];Bideterministic Automata and Minimal Representations of Regular Languages.;2003;61-71
[179, 511];Timing Parameter Characterization of Real-Time Systems.;2003;23-34
[511, 522, 523];TCTL Inevitability Analysis of Dense-Time Systems.;2003;176-187
[841, 842, 843];Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;2011;282-289
[16, 17, 18, 19];Cellular Automata on Regular Rooted Trees.;2012;101-112
[102, 394, 395];How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;2022;34-49
[676, 677, 678, 679, 680];Using Finite State Technology in Natural Language Processing of Basque.;2001;1-12
[403, 404, 405];Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;2022;93-105
[314, 403, 586];Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;2019;83-94
[314, 403, 433];A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;2018;97-108
[403, 574, 601, 602];Computing Raster Images from Grid Picture Grammars.;2000;113-121
[403, 601];TREEBAG.;2000;329-330
[815, 816, 817];Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;2011;42-52
[543, 544, 545, 546];Finite-State Molecular Computing.;2003;309-310
[115, 116];An Application of Quantum Finite Automata to Interactive Proof Systems.;2004;225-236
[379, 380, 381, 382, 383];Early Nested Word Automata for XPath Query Answering on XML Streams.;2013;292-305
[676, 677, 678, 679, 680];Using Finite State Technology in Natural Language Processing of Basque.;2001;1-12
[229, 375];Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;2015;188-198
[229, 375];On the Length of Homing Sequences for Nondeterministic Finite State Machines.;2013;220-231
[228, 229, 375];Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;2011;215-224
[228, 229];Progressive Solutions to FSM Equations.;2008;274-282
[396, 397, 696, 697];Memoized Regular Expressions.;2021;39-52
[415, 416, 417, 418];Energy Complexity of Regular Language Recognition.;2022;200-211
[100, 101, 712];Path-Equivalent Removals of epsilon-transitions in a Genomic Weighted Finite Automaton.;2006;23-33
[100, 101];Linear Encoding Scheme for Weighted Finite Automata.;2004;146-155
[548, 549, 550, 551, 552, 553];Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;2015;21-34
[803];WIA and the Practice of Theory in Computer Science.;1996;1-5
[57, 58, 59];Multi-Tilde-Bar Derivatives.;2012;321-328
[58, 188, 189];Regular Geometrical Languages and Tiling the Plane.;2010;69-78
[57, 58, 59];Small Extended Expressions for Acyclic Automata.;2009;198-207
[58, 188, 189];Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;2008;68-77
[58, 296, 318];Reducing Acyclic Cover Transducers.;2007;38-50
[58, 87, 316, 517, 721];Multi-tape Automata with Symbol Classes.;2006;126-136
[58, 87, 316, 317, 318];A Class of Rational n-WFSM Auto-intersections.;2005;188-198
[58, 85, 86];Brute Force Determinization of NFAs by Means of State Covers.;2004;80-89
[58, 87, 88];Computing the Follow Automaton of an Expression.;2004;90-101
[58, 88, 156, 513];From Regular Weighted Expressions to Finite Automata.;2003;49-60
[58, 154];Brzozowski's Derivatives Extended to Multiplicities.;2001;52-64
[58];Implicit Structures to Implement NFA's from Regular Expressions.;2000;80-93
[58, 88];New Finite Automaton Constructions Based on Canonical Derivatives.;2000;94-104
[57, 58, 153, 154, 155, 156];SEA: A Symbolic Environment for Automata Theory.;1999;13-26
[58, 88, 167];Determinization of Glushkov Automata.;1998;57-68
[58, 289];Automata and Binary Decision Diagrams.;1998;178-182
[58, 294];Autographe: A Graphical Version of Automate.;1998;226-229
[58, 88, 167];A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;1996;109-119
[4, 784];Automata of Asynchronous Behaviors.;1997;29-45
[291];On the Software Design of Cellular Automata Simulators for Ecological Modeling.;2001;261-262
[291];On the Syntax, Semantics, and Implementation of a Graph-Based Computational Environment.;1998;199-212
[291];Teaching Theory of Computation with Tape Machines.;1997;213-227
[442];Generalised Twinning Property.;2018;173-185
[442, 610, 671];A Simple Method for Building Bimachines from Functional Finite-State Transducers.;2017;113-125
[580, 854];Accelerating Boyer Moore Searches on Binary Texts.;2007;130-143
[507, 822];Building Phylogeny with Minimal Absent Words.;2011;100-109
[507, 764, 766, 767];On the Suffix Automaton with Mismatches.;2007;144-156
[507, 715, 716];Factor Oracles.;2006;78-89
[241, 507];On the Implementation of Compact DAWG's.;2002;289-294
[157, 600];Cascade Decompositions are Bit-Vector Algorithms.;2001;13-26
[157, 600];Fast Implementations of Automata Computations.;2000;47-56
[157, 158];Analysis of Reactive Systems with n Timers.;1999;27-38
[157, 288];Automata and Computational Probabilities.;1998;164-177
[120];Refinement of Near Random Access Video Coding with Weighted Finite Automata.;2006;46-57
[120];Parametric Weighted Finite Automata for Figure Drawing.;2004;259-268
[471, 570];Classical and Quantum Counter Automata on Promise Problems.;2015;224-237
[823, 824, 825, 826];On the Hardness of Priority Synthesis.;2011;110-117
[78, 79, 80, 81];Implementation of Catalytic P Systems.;2004;45-56
[96, 97, 98, 99];Finding Finite Automata That Certify Termination of String Rewriting.;2004;134-145
[102, 435];Online Stochastic Pattern Matching.;2018;121-132
[655, 656, 657, 658, 659];On the Complexity of Determinizing Monitors.;2017;1-13
[209, 210];Five Determinisation Algorithms.;2008;161-170
[370, 714, 873, 874];The Constrained Longest Common Subsequence Problem for Degenerate Strings.;2007;309-311
[527, 528];XML Schema Containment Checking Based on Semi-implicit Techniques.;2003;213-225
