Author;Title;Co-Authors;No Authors;Year;Pagination
https://dblp.uni-trier.de/pid/65/922.html;On the Equivalence Problem for Programs with Mode Switching.;['https://dblp.uni-trier.de/pid/61/3416.html', 'https://dblp.uni-trier.de/pid/84/5934.html'];3;2005;351-352
https://dblp.uni-trier.de/pid/99/1614.html;Approximate Hashing for Bioinformatics.;['https://dblp.uni-trier.de/pid/292/6337.html', 'https://dblp.uni-trier.de/pid/k/ShmuelTomiKlein.html', 'https://dblp.uni-trier.de/pid/02/222.html'];4;2021;178-189
https://dblp.uni-trier.de/pid/99/1614.html;Finding Common Motifs with Gaps Using Finite Automata.;['https://dblp.uni-trier.de/pid/22/6627.html', 'https://dblp.uni-trier.de/pid/h/JHolub.html', 'https://dblp.uni-trier.de/pid/i/CSIliopoulos.html', 'https://dblp.uni-trier.de/pid/78/5300.html'];5;2006;69-77
https://dblp.uni-trier.de/pid/e/OEgecioglu.html;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;['https://dblp.uni-trier.de/pid/90/952.html', 'https://dblp.uni-trier.de/pid/23/3778.html'];3;2008;141-150
https://dblp.uni-trier.de/pid/a/LucaAceto.html;On the Complexity of Determinizing Monitors.;['https://dblp.uni-trier.de/pid/44/7660.html', 'https://dblp.uni-trier.de/pid/91/2771.html', 'https://dblp.uni-trier.de/pid/i/AIngolfsdottir.html', 'https://dblp.uni-trier.de/pid/190/7312.html'];5;2017;1-13
https://dblp.uni-trier.de/pid/30/3557-5.html;Enumerating Regular Expressions and Their Languages.;['https://dblp.uni-trier.de/pid/s/JeffreyShallit.html'];2;2004;2-22
https://dblp.uni-trier.de/pid/157/8638.html;Solving Parity Games: Explicit vs Symbolic.;['https://dblp.uni-trier.de/pid/41/1330.html', 'https://dblp.uni-trier.de/pid/v/MosheYVardi.html'];3;2018;159-172
https://dblp.uni-trier.de/pid/157/8638.html;Solving Parity Games Using an Automata-Based Algorithm.;['https://dblp.uni-trier.de/pid/41/1330.html', 'https://dblp.uni-trier.de/pid/08/10670.html', 'https://dblp.uni-trier.de/pid/v/MosheYVardi.html'];4;2016;64-76
https://dblp.uni-trier.de/pid/176/5446.html;Degrees of Restriction for Two-Dimensional Automata.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2021;77-89
https://dblp.uni-trier.de/pid/176/5446.html;Decision Problems for Restricted Variants of Two-Dimensional Automata.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2019;222-234
