Key;Author-Key;Author;Author-URL;Title;Co-Authors;Co-Author-URLs;Pagination;Year;Venue
15;340;Janis Iraids;https://dblp.uni-trier.de/pid/77/9496.html;Integer Complexity: Experimental and Analytical Results II.;Juris Cernenoks, Janis Iraids, Martins Opmanis, Rihards Opmanis, Karlis Podnieks;['https://dblp.uni-trier.de/pid/163/7356.html', 'https://dblp.uni-trier.de/pid/89/5695.html', 'https://dblp.uni-trier.de/pid/28/5327.html', 'https://dblp.uni-trier.de/pid/39/4892.html'];58-69;2015;DCFS
49;205;G. Sethuraman;https://dblp.uni-trier.de/pid/58/1625.html;Descriptional Complexity of Alternating Finite Automata.;J. Kavitha, L. Jeganathan, G. Sethuraman;['https://dblp.uni-trier.de/pid/24/10307.html', 'https://dblp.uni-trier.de/pid/23/2173.html'];188-198;2006;DCFS
103;74;Erzsébet Csuhaj-Varjú;https://dblp.uni-trier.de/pid/54/5347.html;On the Number of Components and Clusters of Non-returning Parallel Communicating Grammar Systems.;Erzsébet Csuhaj-Varjú, György Vaszil;['https://dblp.uni-trier.de/pid/85/2384.html'];121-134;2011;DCFS
119;74;Erzsébet Csuhaj-Varjú;https://dblp.uni-trier.de/pid/54/5347.html;On the Size Complexity of Non-Returning Context-Free PC Grammar Systems.;Erzsébet Csuhaj-Varjú, György Vaszil;['https://dblp.uni-trier.de/pid/85/2384.html'];91-100;2009;DCFS
127;74;Erzsébet Csuhaj-Varjú;https://dblp.uni-trier.de/pid/54/5347.html;Computational Completeness of Hybrid Networks of Evolutionary Processors with Seven Nodes.;Artiom Alhazov, Erzsébet Csuhaj-Varjú, Carlos Martín-Vide, Yurii Rogozhin;['https://dblp.uni-trier.de/pid/82/752.html', 'https://dblp.uni-trier.de/pid/45/476.html', 'https://dblp.uni-trier.de/pid/88/6877.html'];38-47;2008;DCFS
166;74;Erzsébet Csuhaj-Varjú;https://dblp.uni-trier.de/pid/54/5347.html;Descriptional Complexity Issues in Grammar Systems.;Erzsébet Csuhaj-Varjú;[];13-16;2002;DCFS
170;74;Erzsébet Csuhaj-Varjú;https://dblp.uni-trier.de/pid/54/5347.html;On the Number of Rules in Components of Cooperating Distributed Grammar Systems with Probabilities.;K. Arthi, Kamala Krithivasan, Erzsébet Csuhaj-Varjú;['https://dblp.uni-trier.de/pid/62/5718.html', 'https://dblp.uni-trier.de/pid/k/KKrithivasan.html'];35-46;2001;DCFS
213;317;Abhishek Madan;https://dblp.uni-trier.de/pid/222/1721.html;State Complexity of Single-Word Pattern Matching in Regular Languages.;Janusz A. Brzozowski, Sylvie Davies, Abhishek Madan;['https://dblp.uni-trier.de/pid/b/JABrzozowski.html', 'https://dblp.uni-trier.de/pid/160/8228.html'];86-97;2019;DCFS
244;252;Pierre McKenzie;https://dblp.uni-trier.de/pid/14/1904.html;Can Chimps Go It Alone?;Pierre McKenzie;[];17;2013;DCFS
340;23;Markus Ulbricht;https://dblp.uni-trier.de/pid/82/11198-1.html;Disambiguation of Weighted Tree Automata.;Kevin Stier, Markus Ulbricht;['https://dblp.uni-trier.de/pid/265/9625.html'];163-175;2021;DCFS
408;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;State Grammars with Stores.;Oscar H. Ibarra, Ian McQuillan;['https://dblp.uni-trier.de/pid/i/OscarHIbarra.html'];163-174;2018;DCFS
433;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;On the Complexity and Decidability of Some Problems Involving Shuffle.;Joey Eremondi, Oscar H. Ibarra, Ian McQuillan;['https://dblp.uni-trier.de/pid/136/0877.html', 'https://dblp.uni-trier.de/pid/i/OscarHIbarra.html'];105-116;2015;DCFS
452;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;On the Shuffle Automaton Size for Words.;Franziska Biegler, Mark Daley, Ian McQuillan;['https://dblp.uni-trier.de/pid/37/153.html', 'https://dblp.uni-trier.de/pid/d/MarkDaley.html'];79-89;2009;DCFS
459;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;An Infinite Hierarchy Induced by Depth Synchronization.;Franziska Biegler, Ian McQuillan, Kai Salomaa;['https://dblp.uni-trier.de/pid/37/153.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];82-93;2006;DCFS
468;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;Template-Guided DNA Recombination.;Mark Daley, Ian McQuillan;['https://dblp.uni-trier.de/pid/d/MarkDaley.html'];235-244;2003;DCFS
470;194;Ian McQuillan;https://dblp.uni-trier.de/pid/85/1477.html;Descriptional Complexity of Block-Synchronization Context-Free Grammars.;Ian McQuillan;[];188-203;2002;DCFS
486;301;Petr Zemek;https://dblp.uni-trier.de/pid/70/9575.html;An Infinite Hierarchy of Language Families Resulting from Stateless Pushdown Automata with Limited Pushdown Alphabets.;Alexander Meduna, Lukás Vrábel, Petr Zemek;['https://dblp.uni-trier.de/pid/05/2606.html', 'https://dblp.uni-trier.de/pid/53/10482.html'];236-243;2012;DCFS
