Author;Title;Co-Authors;No Authors;Year;Pagination
https://dblp.uni-trier.de/pid/77/9496.html;Integer Complexity: Experimental and Analytical Results II.;['https://dblp.uni-trier.de/pid/163/7356.html', 'https://dblp.uni-trier.de/pid/89/5695.html', 'https://dblp.uni-trier.de/pid/28/5327.html', 'https://dblp.uni-trier.de/pid/39/4892.html'];5;2015;58-69
https://dblp.uni-trier.de/pid/58/1625.html;Descriptional Complexity of Alternating Finite Automata.;['https://dblp.uni-trier.de/pid/24/10307.html', 'https://dblp.uni-trier.de/pid/23/2173.html'];3;2006;188-198
https://dblp.uni-trier.de/pid/54/5347.html;On the Number of Components and Clusters of Non-returning Parallel Communicating Grammar Systems.;['https://dblp.uni-trier.de/pid/85/2384.html'];2;2011;121-134
https://dblp.uni-trier.de/pid/54/5347.html;On the Size Complexity of Non-Returning Context-Free PC Grammar Systems.;['https://dblp.uni-trier.de/pid/85/2384.html'];2;2009;91-100
https://dblp.uni-trier.de/pid/54/5347.html;Computational Completeness of Hybrid Networks of Evolutionary Processors with Seven Nodes.;['https://dblp.uni-trier.de/pid/82/752.html', 'https://dblp.uni-trier.de/pid/45/476.html', 'https://dblp.uni-trier.de/pid/88/6877.html'];4;2008;38-47
https://dblp.uni-trier.de/pid/54/5347.html;Descriptional Complexity Issues in Grammar Systems.;[];1;2002;13-16
https://dblp.uni-trier.de/pid/54/5347.html;On the Number of Rules in Components of Cooperating Distributed Grammar Systems with Probabilities.;['https://dblp.uni-trier.de/pid/62/5718.html', 'https://dblp.uni-trier.de/pid/k/KKrithivasan.html'];3;2001;35-46
https://dblp.uni-trier.de/pid/222/1721.html;State Complexity of Single-Word Pattern Matching in Regular Languages.;['https://dblp.uni-trier.de/pid/b/JABrzozowski.html', 'https://dblp.uni-trier.de/pid/160/8228.html'];3;2019;86-97
https://dblp.uni-trier.de/pid/14/1904.html;Can Chimps Go It Alone?;[];1;2013;17
https://dblp.uni-trier.de/pid/82/11198-1.html;Disambiguation of Weighted Tree Automata.;['https://dblp.uni-trier.de/pid/265/9625.html'];2;2021;163-175
https://dblp.uni-trier.de/pid/85/1477.html;State Grammars with Stores.;['https://dblp.uni-trier.de/pid/i/OscarHIbarra.html'];2;2018;163-174
https://dblp.uni-trier.de/pid/85/1477.html;On the Complexity and Decidability of Some Problems Involving Shuffle.;['https://dblp.uni-trier.de/pid/136/0877.html', 'https://dblp.uni-trier.de/pid/i/OscarHIbarra.html'];3;2015;105-116
https://dblp.uni-trier.de/pid/85/1477.html;On the Shuffle Automaton Size for Words.;['https://dblp.uni-trier.de/pid/37/153.html', 'https://dblp.uni-trier.de/pid/d/MarkDaley.html'];3;2009;79-89
https://dblp.uni-trier.de/pid/85/1477.html;An Infinite Hierarchy Induced by Depth Synchronization.;['https://dblp.uni-trier.de/pid/37/153.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2006;82-93
https://dblp.uni-trier.de/pid/85/1477.html;Template-Guided DNA Recombination.;['https://dblp.uni-trier.de/pid/d/MarkDaley.html'];2;2003;235-244
https://dblp.uni-trier.de/pid/85/1477.html;Descriptional Complexity of Block-Synchronization Context-Free Grammars.;[];1;2002;188-203
https://dblp.uni-trier.de/pid/70/9575.html;An Infinite Hierarchy of Language Families Resulting from Stateless Pushdown Automata with Limited Pushdown Alphabets.;['https://dblp.uni-trier.de/pid/05/2606.html', 'https://dblp.uni-trier.de/pid/53/10482.html'];3;2012;236-243
https://dblp.uni-trier.de/pid/27/3678.html;Multidimensional Descriptional Complexity of P Systems.;['https://dblp.uni-trier.de/pid/p/MarioJPerezJimenez.html', 'https://dblp.uni-trier.de/pid/89/6274.html'];3;2005;134-145
https://dblp.uni-trier.de/pid/d/JDassow.html;Descriptional Complexity and Operations - Two Non-classical Cases.;[];1;2017;33-44
https://dblp.uni-trier.de/pid/d/JDassow.html;Production Complexity of Some Operations on Context-Free Languages.;['https://dblp.uni-trier.de/pid/90/11042.html'];2;2012;141-154
https://dblp.uni-trier.de/pid/d/JDassow.html;On Contextual Grammars with Subregular Selection Languages.;['https://dblp.uni-trier.de/pid/67/4899.html', 'https://dblp.uni-trier.de/pid/86/3096.html'];3;2011;135-146
https://dblp.uni-trier.de/pid/d/JDassow.html;Language Classes Generated by Tree Controlled Grammars with Bounded Nonterminal Complexity.;['https://dblp.uni-trier.de/pid/20/5646.html', 'https://dblp.uni-trier.de/pid/92/1411.html'];3;2011;289-300
https://dblp.uni-trier.de/pid/d/JDassow.html;Accepting Hybrid Networks of Evolutionary Processors with Special Topologies and Small Communication.;['https://dblp.uni-trier.de/pid/67/4899.html'];2;2010;68-77
https://dblp.uni-trier.de/pid/d/JDassow.html;On Two Hierarchies of Subregularly Tree Controlled Languages.;['https://dblp.uni-trier.de/pid/86/3096.html'];2;2008;145-156
https://dblp.uni-trier.de/pid/d/JDassow.html;Nonterminal Complexity of Some Operations on Context-Free Languages.;['https://dblp.uni-trier.de/pid/s/RStiebe.html'];2;2007;162-169
https://dblp.uni-trier.de/pid/d/JDassow.html;On the Number of Active Symbols in Lindenmayer Systems.;['https://dblp.uni-trier.de/pid/85/2384.html'];2;2006;130-140
https://dblp.uni-trier.de/pid/d/JDassow.html;On the Degree Complexity of Special Non-Context-Free Languages with Respect to PC Grammar Systems.;['https://dblp.uni-trier.de/pid/86/3096.html'];2;2006;241-249
https://dblp.uni-trier.de/pid/d/JDassow.html;On the Descriptional Complexity of Lindenmayer Systems.;[];1;2004;28-36
https://dblp.uni-trier.de/pid/18/67.html;A New Measure of Descriptional Complexity of Languages and Formal Power Series: Compactness.;[];1;2007;153-161
https://dblp.uni-trier.de/pid/139/8217.html;Site-Directed Insertion: Decision Problems, Maximality and Minimality.;['https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/02/6009.html', 'https://dblp.uni-trier.de/pid/176/5446.html'];4;2018;49-61
https://dblp.uni-trier.de/pid/139/8217.html;The State Complexity of Permutations on Finite Languages over Binary Alphabets.;['https://dblp.uni-trier.de/pid/117/1658.html', 'https://dblp.uni-trier.de/pid/179/4995.html', 'https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/71/9491.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];6;2015;220-230
https://dblp.uni-trier.de/pid/139/8217.html;State Complexity of Inversion Operations.;['https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/71/9491.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];4;2014;102-113
https://dblp.uni-trier.de/pid/94/892.html;L-systems in Geometric Modeling.;['https://dblp.uni-trier.de/pid/51/8397.html', 'https://dblp.uni-trier.de/pid/s/FaramarzFSamavati.html'];3;2010;3-14
https://dblp.uni-trier.de/pid/178/0990.html;State Complexity of Unary SV-XNFA with Different Acceptance Conditions.;['https://dblp.uni-trier.de/pid/02/4801.html'];2;2017;250-261
https://dblp.uni-trier.de/pid/178/0990.html;Unary Self-verifying Symmetric Difference Automata.;['https://dblp.uni-trier.de/pid/02/4801.html'];2;2016;180-191
https://dblp.uni-trier.de/pid/o/AOkhotin.html;Deterministic One-Way Simulation of Two-Way Deterministic Finite Automata over Small Alphabets.;['https://dblp.uni-trier.de/pid/54/3483.html'];2;2021;26-37
https://dblp.uni-trier.de/pid/o/AOkhotin.html;State Complexity of Union and Intersection on Graph-Walking Automata.;['https://dblp.uni-trier.de/pid/191/3141-1.html'];2;2021;125-136
https://dblp.uni-trier.de/pid/o/AOkhotin.html;Longer Shortest Strings in Two-Way Finite Automata.;['https://dblp.uni-trier.de/pid/278/3602.html'];2;2020;104-116
https://dblp.uni-trier.de/pid/o/AOkhotin.html;State Complexity of GF(2)-inverse and GF(2)-star on Binary Languages.;['https://dblp.uni-trier.de/pid/217/0450.html'];2;2020;142-154
https://dblp.uni-trier.de/pid/o/AOkhotin.html;State Complexity of GF(2)-Concatenation and GF(2)-Inverse on Unary Languages.;['https://dblp.uni-trier.de/pid/217/0450.html'];2;2019;248-259
https://dblp.uni-trier.de/pid/o/AOkhotin.html;State Complexity of Unambiguous Operations on Deterministic Finite Automata.;['https://dblp.uni-trier.de/pid/j/GJiraskova.html'];2;2018;188-199
https://dblp.uni-trier.de/pid/o/AOkhotin.html;Further Closure Properties of Input-Driven Pushdown Automata.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2018;224-236
https://dblp.uni-trier.de/pid/o/AOkhotin.html;The Quotient Operation on Input-Driven Pushdown Automata.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2017;299-310
https://dblp.uni-trier.de/pid/o/AOkhotin.html;Improved Normal Form for Grammars with One-Sided Contexts.;[];1;2013;205-216
https://dblp.uni-trier.de/pid/o/AOkhotin.html;On the Number of Nonterminal Symbols in Unambiguous Conjunctive Grammars.;['https://dblp.uni-trier.de/pid/74/6087.html'];2;2012;183-195
