Key;Name;URL
0;Yo-Sub Han;https://dblp.uni-trier.de/pid/h/YoSubHan.html
1;Sang-Ki Ko;https://dblp.uni-trier.de/pid/71/9491.html
2;Pavel Alaev;https://dblp.uni-trier.de/pid/223/4954.html
3;Victor L. Selivanov;https://dblp.uni-trier.de/pid/60/934.html
4;Sabine Broda;https://dblp.uni-trier.de/pid/42/4087.html
5;António Machiavelo;https://dblp.uni-trier.de/pid/21/4601.html
6;Nelma Moreira;https://dblp.uni-trier.de/pid/n/NelmaMoreira.html
7;Rogério Reis;https://dblp.uni-trier.de/pid/30/5254.html
8;Viliam Geffert;https://dblp.uni-trier.de/pid/54/3483.html
9;Alexander Okhotin;https://dblp.uni-trier.de/pid/o/AOkhotin.html
10;Stefan Hoffmann;https://dblp.uni-trier.de/pid/73/962-1.html
11;Markus Holzer;https://dblp.uni-trier.de/pid/h/MarkusHolzer1.html
12;Christian Rauch;https://dblp.uni-trier.de/pid/51/7703.html
13;Chris Keeler;https://dblp.uni-trier.de/pid/201/6524.html
14;Kai Salomaa;https://dblp.uni-trier.de/pid/02/6009.html
15;Stavros Konstantinidis;https://dblp.uni-trier.de/pid/k/StavrosKonstantinidis.html
16;Martin Kutrib;https://dblp.uni-trier.de/pid/k/MartinKutrib.html
17;Matthias Wendlandt;https://dblp.uni-trier.de/pid/55/10307.html
18;Olga Martynova;https://dblp.uni-trier.de/pid/191/3141-1.html
19;Jean Néraud;https://dblp.uni-trier.de/pid/n/JNeraud.html
20;Alexander A. Rubtsov;https://dblp.uni-trier.de/pid/96/9670.html
21;Mikhail N. Vyalyi;https://dblp.uni-trier.de/pid/n/MikhailNVyalyi.html
22;Kevin Stier;https://dblp.uni-trier.de/pid/265/9625.html
23;Markus Ulbricht;https://dblp.uni-trier.de/pid/82/11198-1.html
24;Stefan Kiefer;https://dblp.uni-trier.de/pid/28/6047.html
25;Cas Widdershoven;https://dblp.uni-trier.de/pid/243/5879.html
26;Abuzer Yakaryilmaz;https://dblp.uni-trier.de/pid/82/4618.html
27;Giovanni Pighizzini;https://dblp.uni-trier.de/pid/87/6893.html
28;Cezar Câmpeanu;https://dblp.uni-trier.de/pid/41/4735.html
29;Shaull Almagor;https://dblp.uni-trier.de/pid/88/8556.html
30;Denis Kuperberg;https://dblp.uni-trier.de/pid/21/8279.html
31;Orna Kupferman;https://dblp.uni-trier.de/pid/k/OrnaKupferman.html
32;Marcella Anselmo;https://dblp.uni-trier.de/pid/91/3140.html
33;Dora Giammarresi;https://dblp.uni-trier.de/pid/13/1566.html
34;Maria Madonia;https://dblp.uni-trier.de/pid/74/2120.html
35;Jürgen Dassow;https://dblp.uni-trier.de/pid/d/JDassow.html
36;Suna Bensch;https://dblp.uni-trier.de/pid/84/2622.html
