Author;Title;Co-Authors;Pagination;Published;Venue
Yuan Gao;In Memoriam Sheng Yu.;Kai Salomaa;1-4;2012;CIAA 2012
Kai Salomaa;In Memoriam Sheng Yu.;Yuan Gao;1-4;2012;CIAA 2012
Janusz A. Brzozowski;In Search of Most Complex Regular Languages.;nan;5-24;2012;CIAA 2012
Andrzej Ehrenfeucht;A Formal Framework for Processes Inspired by the Functioning of Living Cells.;Grzegorz Rozenberg;25-27;2012;CIAA 2012
Grzegorz Rozenberg;A Formal Framework for Processes Inspired by the Functioning of Living Cells.;Andrzej Ehrenfeucht;25-27;2012;CIAA 2012
Paul Gastin;Adding Pebbles to Weighted Automata.;Benjamin Monmege;28-51;2012;CIAA 2012
Benjamin Monmege;Adding Pebbles to Weighted Automata.;Paul Gastin;28-51;2012;CIAA 2012
José Nuno Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;nan;52-65;2012;CIAA 2012
Cyril Allauzen;A Pushdown Transducer Extension for the OpenFst Library.;Michael Riley;66-77;2012;CIAA 2012
Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;Cyril Allauzen;66-77;2012;CIAA 2012
Joshua Amavi;Weak Inclusion for Recursive XML Types.;Jacques Chabin, Pierre Réty;78-89;2012;CIAA 2012
Jacques Chabin;Weak Inclusion for Recursive XML Types.;Joshua Amavi, Pierre Réty;78-89;2012;CIAA 2012
Pierre Réty;Weak Inclusion for Recursive XML Types.;Joshua Amavi, Jacques Chabin;78-89;2012;CIAA 2012
Mikhail V. Berlinkov;Synchronizing Automata on Quasi-Eulerian Digraph.;nan;90-100;2012;CIAA 2012
Tullio Ceccherini-Silberstein;Cellular Automata on Regular Rooted Trees.;Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;101-112;2012;CIAA 2012
Michel Coornaert;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Francesca Fiorenzi, Zoran Sunic;101-112;2012;CIAA 2012
Francesca Fiorenzi;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Michel Coornaert, Zoran Sunic;101-112;2012;CIAA 2012
Zoran Sunic;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi;101-112;2012;CIAA 2012
Stefano Crespi-Reghizzi;Strict Local Testability with Consensus Equals Regularity.;Pierluigi San Pietro;113-124;2012;CIAA 2012
Pierluigi San Pietro;Strict Local Testability with Consensus Equals Regularity.;Stefano Crespi-Reghizzi;113-124;2012;CIAA 2012
Pierpaolo Degano;Nominal Automata for Resource Usage Control.;Gian Luigi Ferrari, Gianluca Mezzetti;125-137;2012;CIAA 2012
Gian Luigi Ferrari;Nominal Automata for Resource Usage Control.;Pierpaolo Degano, Gianluca Mezzetti;125-137;2012;CIAA 2012
Gianluca Mezzetti;Nominal Automata for Resource Usage Control.;Pierpaolo Degano, Gian Luigi Ferrari;125-137;2012;CIAA 2012
Manfred Droste;Weighted Nested Word Automata and Logics over Strong Bimonoids.;Bundit Pibaljommee;138-148;2012;CIAA 2012
Bundit Pibaljommee;Weighted Nested Word Automata and Logics over Strong Bimonoids.;Manfred Droste;138-148;2012;CIAA 2012
Simone Faro;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.;Thierry Lecroq;149-158;2012;CIAA 2012
Thierry Lecroq;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.;Simone Faro;149-158;2012;CIAA 2012
Fedor M. Fominykh;P(l)aying for Synchronization.;Mikhail V. Volkov;159-170;2012;CIAA 2012
Mikhail V. Volkov;P(l)aying for Synchronization.;Fedor M. Fominykh;159-170;2012;CIAA 2012
Vladimir V. Gusev;Synchronizing Automata of Bounded Rank.;nan;171-179;2012;CIAA 2012
Daniel Goc;Automatic Theorem-Proving in Combinatorics on Words.;Dane Henshall, Jeffrey O. Shallit;180-191;2012;CIAA 2012
Dane Henshall;Automatic Theorem-Proving in Combinatorics on Words.;Daniel Goc, Jeffrey O. Shallit;180-191;2012;CIAA 2012
Jeffrey O. Shallit;Automatic Theorem-Proving in Combinatorics on Words.;Daniel Goc, Dane Henshall;180-191;2012;CIAA 2012
Oscar H. Ibarra;How to Synchronize the Heads of a Multitape Automaton.;Nicholas Q. Trân;192-204;2012;CIAA 2012
Nicholas Q. Trân;How to Synchronize the Heads of a Multitape Automaton.;Oscar H. Ibarra;192-204;2012;CIAA 2012
Franz Jahn;Regular Ideal Languages and Their Boolean Combinations.;Manfred Kufleitner, Alexander Lauser;205-216;2012;CIAA 2012
Manfred Kufleitner;Regular Ideal Languages and Their Boolean Combinations.;Franz Jahn, Alexander Lauser;205-216;2012;CIAA 2012
Alexander Lauser;Regular Ideal Languages and Their Boolean Combinations.;Franz Jahn, Manfred Kufleitner;205-216;2012;CIAA 2012
Artur Jez;Hyper-minimization for Deterministic Tree Automata.;Andreas Maletti;217-228;2012;CIAA 2012
Andreas Maletti;Hyper-minimization for Deterministic Tree Automata.;Artur Jez;217-228;2012;CIAA 2012
