;Author;Title
225;B. Sundar Rajan;A Package for the Implementation of Block Codes as Finite Automata.
232;Claudia Cauli;Equivalence of Probabilistic \\mu -Calculus and p-Automata.
235;Christiane Frougny;On Lazy Representations and Sturmian Graphs.
272;Giuseppe Perelli;Solving Parity Games Using an Automata-Based Algorithm.
288;Ayon Sen;On Palindromic Sequence Automata and Applications.
313;Manfred Droste;Weighted Nested Word Automata and Logics over Strong Bimonoids.
319;Manfred Droste;Regular Expressions on Average and in the Long Run.
323;Manfred Droste;Weighted Automata and Weighted Logics with Discounting.
344;Abejide Ade-Ibijola;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.
351;Hadrien Jeanne;Regular Geometrical Languages and Tiling the Plane.
352;Hadrien Jeanne;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).
360;Yannick Parmentier;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.
385;Johannes Osterholzer;Pushdown Machines for Weighted Context-Free Tree Translation.
425;Bow-Yaw Wang;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.
446;Uwe Meyer 0003;Syntax Checking Either Way.
455;Henrik Björklund;On the Regularity and Learnability of Ordered DAG Languages.
486;Beatrice Palano;On the Power of One-Way Automata with Quantum and Classical States.
491;Beatrice Palano;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.
515;Petr Kurka;Analytic Functions Computable by Finite State Transducers.
533;Leandro Rodríguez Liñares;Robust Parsing Using Dynamic Programming.
553;Laurent Bartholdi;A New Hierarchy for Automaton Semigroups.
576;Francisco J. Ribadas;Regional Least-Cost Error Repair.
617;Marco Roveri;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.
635;Marco Roveri;Symbolic Implementation of Alternating Automata.
659;Michael Vielhaber;On a Class of Bijective Binary Transducers with Finitary Description Despite Infinite State Set.
661;Heiko Körner;On Minimizing Cover Automata for Finite Languages in O(n log n) Time.
668;Shinnosuke Seki;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.
672;Shinnosuke Seki;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.
676;Shinnosuke Seki;The Complexity of Fixed-Height Patterned Tile Self-assembly.
706;Wojciech Skut;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
727;Cezar Câmpeanu;Cover Languages and Implementations.
732;Cezar Câmpeanu;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.
735;Cezar Câmpeanu;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.
737;Cezar Câmpeanu;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.
738;Cezar Câmpeanu;Regex and Extended Regex.
752;Pierre Réty;Weak Inclusion for Recursive XML Types.
753;Pierre Réty;Weak Inclusion for XML Types.
769;M. Wayne Wilson;Crystal Lattice Automata.
813;Anders Møller;Analyzing Ambiguity of Context-Free Grammars.
826;Anders Møller;MONA Implementation Secrets.
935;Radu Grosu;The Cayley-Hamilton Theorem for Noncommutative Semirings.
995;Tim Fernando;Finite-State Temporal Projection.
1007;Luca Saiu;A Type System for Weighted Automata and Rational Expressions.
1054;Hans-Jörg Kreowski;Computing Raster Images from Grid Picture Grammars.
1136;Jesús Vilares;Robust Spelling Correction.
1145;Jesús Vilares;Robust Parsing Using Dynamic Programming.
1153;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.
1171;Jakub Kowalski;Experiments with Synchronizing Automata.
1183;Andrew Ryzhikov;Synchronization Problems in Automata Without Non-trivial Cycles.
1184;J. Howard Johnson;Uniformizing Rational Relations for Natural Language Applications Using Weighted Determinization.
1187;J. Howard Johnson;Lessons from INR in the Specification of Transductions.
1215;Kamal Lodaya;An Automaton Model of User-Controlled Navigation on the Web.
1231;Barbara Jobstmann;On the Hardness of Priority Synthesis.
1369;Paul Gastin;Adding Pebbles to Weighted Automata.
1458;Suman Roy;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.
1464;Matthew Drotar;Does Hausdorff Dimension Measure Texture Complexity?.
1508;Margus Veanes;Applications of Symbolic Finite Automata.
1557;Matti Nykänen;Size Reduction of Multitape Automata.
1558;Matti Nykänen;Size Reduction of Multitape Automata.
1565;Brian Fristensky;Pairwise Rational Kernels Obtained by Automaton Operations.
1580;João José Neto;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.
1581;João José Neto;Adaptive Automata - A Revisited Proposal.
1582;João José Neto;Adaptive Rule-Driven Devices - General Formulation and Case Study.
1583;João José Neto;Solving Complex Problems Efficiently with Adaptive Automata.
1586;Pawel Baturo;The Number of Runs in Sturmian Words.
1634;Christoph Koch;Applications of Automata in XML Processing.
1701;Peter Habermehl;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.
1913;Cheng Li (disambiguation);Testability of Oracle Automata.
1914;Cheng Li (disambiguation);New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.
1977;Jing Cao;Formally Synthesising a Protocol Converter: A Case Study.
1987;Rodrigo Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.
1992;Roberto Radicioni;Average Value and Variance of Pattern Statistics in Rational Models.
1999;Jozef Jirásek 0002;Kuratowski Algebras Generated by Prefix-Free Languages.
2104;Andrzej Pelc;Prime Decompositions of Regular Prefix Codes.
2162;Maria Madonia;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.
2163;Maria Madonia;Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .
2177;Supaporn Chairungsee;Building Phylogeny with Minimal Absent Words.
2181;Makoto Murata;Boolean Operations for Attribute-Element Constraints.
2197;Jan Procházka;Compiler Generator Based on Restarting Automata.
2205;Victor M. Darriba;Robust Parsing Using Dynamic Programming.
2207;Victor M. Darriba;Searching for Asymptotic Error Repair.
2210;Victor M. Darriba;Regional Least-Cost Error Repair.
