Author;Title;Co-Authors;Pagination;Published in
Pavel Alaev;Complexity Issues for the Iterated h-Preorders.;Victor L. Selivanov;1-12;2021
Victor L. Selivanov;Complexity Issues for the Iterated h-Preorders.;Pavel Alaev;1-12;2021
Sabine Broda;On the Uniform Distribution of Regular Expressions.;António Machiavelo, Nelma Moreira, Rogério Reis;13-25;2021
António Machiavelo;On the Uniform Distribution of Regular Expressions.;Sabine Broda, Nelma Moreira, Rogério Reis;13-25;2021
Nelma Moreira;On the Uniform Distribution of Regular Expressions.;Sabine Broda, António Machiavelo, Rogério Reis;13-25;2021
Rogério Reis;On the Uniform Distribution of Regular Expressions.;Sabine Broda, António Machiavelo, Nelma Moreira;13-25;2021
Viliam Geffert;Deterministic One-Way Simulation of Two-Way Deterministic Finite Automata over Small Alphabets.;Alexander Okhotin;26-37;2021
Alexander Okhotin;Deterministic One-Way Simulation of Two-Way Deterministic Finite Automata over Small Alphabets.;Viliam Geffert;26-37;2021
Stefan Hoffmann;Sync-Maximal Permutation Groups Equal Primitive Permutation Groups.;nan;38-50;2021
Stefan Hoffmann;Commutative Regular Languages with Product-Form Minimal Automata.;nan;51-63;2021
Stefan Hoffmann;State Complexity Investigations on Commutative Languages - the Upward and Downward Closure, Commutative Aperiodic and Commutative Group Languages.;nan;64-75;2021
Markus Holzer;More on the Descriptional Complexity of Products of Finite Automata.;Christian Rauch;76-87;2021
Christian Rauch;More on the Descriptional Complexity of Products of Finite Automata.;Markus Holzer;76-87;2021
Chris Keeler;Width Measures of Alternating Finite Automata.;Kai Salomaa;88-99;2021
Kai Salomaa;Width Measures of Alternating Finite Automata.;Chris Keeler;88-99;2021
Stavros Konstantinidis;Partial Derivative Automaton by Compressing Regular Expressions.;António Machiavelo, Nelma Moreira, Rogério Reis;100-112;2021
António Machiavelo;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, Nelma Moreira, Rogério Reis;100-112;2021
Nelma Moreira;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, António Machiavelo, Rogério Reis;100-112;2021
Rogério Reis;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, António Machiavelo, Nelma Moreira;100-112;2021
Martin Kutrib;State Complexity of Partial Word Finite Automata.;Matthias Wendlandt;113-124;2021
Matthias Wendlandt;State Complexity of Partial Word Finite Automata.;Martin Kutrib;113-124;2021
Olga Martynova;State Complexity of Union and Intersection on Graph-Walking Automata.;Alexander Okhotin;125-136;2021
Alexander Okhotin;State Complexity of Union and Intersection on Graph-Walking Automata.;Olga Martynova;125-136;2021
Jean Néraud;Gray Cycles of Maximum Length Related to k-Character Substitutions.;nan;137-149;2021
Alexander A. Rubtsov;Automata Equipped with Auxiliary Data Structures and Regular Realizability Problems.;Mikhail N. Vyalyi;150-162;2021
Mikhail N. Vyalyi;Automata Equipped with Auxiliary Data Structures and Regular Realizability Problems.;Alexander A. Rubtsov;150-162;2021
Kevin Stier;Disambiguation of Weighted Tree Automata.;Markus Ulbricht;163-175;2021
Markus Ulbricht;Disambiguation of Weighted Tree Automata.;Kevin Stier;163-175;2021
Stefan Kiefer;Image-Binary Automata.;Cas Widdershoven;176-187;2021
Cas Widdershoven;Image-Binary Automata.;Stefan Kiefer;176-187;2021
Abuzer Yakaryilmaz;Improved Constructions for Succinct Affine Automata.;nan;188-199;2021
Shaull Almagor;Sensing as a Complexity Measure.;Denis Kuperberg, Orna Kupferman;3-15;2017
Denis Kuperberg;Sensing as a Complexity Measure.;Shaull Almagor, Orna Kupferman;3-15;2017
Orna Kupferman;Sensing as a Complexity Measure.;Shaull Almagor, Denis Kuperberg;3-15;2017
Marcella Anselmo;Avoiding Overlaps in Pictures.;Dora Giammarresi, Maria Madonia;16-32;2017
Dora Giammarresi;Avoiding Overlaps in Pictures.;Marcella Anselmo, Maria Madonia;16-32;2017
Maria Madonia;Avoiding Overlaps in Pictures.;Marcella Anselmo, Dora Giammarresi;16-32;2017
Jürgen Dassow;Descriptional Complexity and Operations - Two Non-classical Cases.;nan;33-44;2017
Stavros Konstantinidis;Applications of Transducers in Independent Languages, Word Distances, Codes.;nan;45-62;2017
Suna Bensch;On the Degree of Nondeterminism of Tree Adjoining Languages and Head Grammar Languages.;Maia Hoeberechts;65-76;2017
Maia Hoeberechts;On the Degree of Nondeterminism of Tree Adjoining Languages and Head Grammar Languages.;Suna Bensch;65-76;2017
Sabine Broda;On the Average Complexity of Strong Star Normal Form.;António Machiavelo, Nelma Moreira, Rogério Reis;77-88;2017
António Machiavelo;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, Nelma Moreira, Rogério Reis;77-88;2017
Nelma Moreira;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, António Machiavelo, Rogério Reis;77-88;2017
Rogério Reis;On the Average Complexity of Strong Star Normal Form.;Sabine Broda, António Machiavelo, Nelma Moreira;77-88;2017
Janusz A. Brzozowski;Most Complex Non-returning Regular Languages.;Sylvie Davies;89-101;2017
Sylvie Davies;Most Complex Non-returning Regular Languages.;Janusz A. Brzozowski;89-101;2017
Maksims Dimitrijevs;Uncountable Realtime Probabilistic Classes.;Abuzer Yakaryilmaz;102-113;2017
Abuzer Yakaryilmaz;Uncountable Realtime Probabilistic Classes.;Maksims Dimitrijevs;102-113;2017
Rachel Faran;A Parametrized Analysis of Algorithms on Hierarchical Graphs.;Orna Kupferman;114-127;2017
Orna Kupferman;A Parametrized Analysis of Algorithms on Hierarchical Graphs.;Rachel Faran;114-127;2017
Henning Fernau;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Lakshmanan Kuppusamy, Indhumathi Raman;128-139;2017
Lakshmanan Kuppusamy;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Henning Fernau, Indhumathi Raman;128-139;2017
Indhumathi Raman;Graph-Controlled Insertion-Deletion Systems Generating Language Classes Beyond Linearity.;Henning Fernau, Lakshmanan Kuppusamy;128-139;2017
