Author;Title;Co-Authors;Pagination;Published in
Cristian Calude;Automata: From Uncertainty to Quantum.;Elena Calude;1-14;2001
Elena Calude;Automata: From Uncertainty to Quantum.;Cristian Calude;1-14;2001
Christian Choffrut;Elementary Theory of Ordinals with Addition and Left Translation by omega.;nan;15-20;2001
Zoltán Ésik;The Equational Theory of Fixed Points with Applications to Generalized Language Theory.;nan;21-36;2001
Thomas Eiter;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Georg Gottlob, Thomas Schwentick;37-56;2001
Georg Gottlob;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Thomas Schwentick;37-56;2001
Thomas Schwentick;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Georg Gottlob;37-56;2001
Tero Harju;Decision Questions on Integer Matrices.;nan;57-68;2001
Masami Ito;Some Petri Net Languages and Codes.;Yoshiyuki Kunimoch;69-80;2001
Yoshiyuki Kunimoch;Some Petri Net Languages and Codes.;Masami Ito;69-80;2001
Helmut Prodinger;Words, Permutations, and Representations of Numbers.;nan;81-99;2001
Alexander A. Razborov;Proof Complexity of Pigeonhole Principles.;nan;100-116;2001
Antonio Restivo;Words and Patterns.;Sergio Salemi;117-129;2001
Sergio Salemi;Words and Patterns.;Antonio Restivo;117-129;2001
Wolfgang Thomas;A Short Introduction to Infinite Automata.;nan;130-144;2001
Thierry Cachat;The Power of One-Letter Rational Languages.;nan;145-154;2001
Ludwig Staiger;The Entropy of Lukasiewicz-Languages.;nan;155-165;2001
Dimitry S. Ananichev;Collapsing Words vs. Synchronizing Words.;Mikhail V. Volkov;166-174;2001
Mikhail V. Volkov;Collapsing Words vs. Synchronizing Words.;Dimitry S. Ananichev;166-174;2001
Karel Culík II;A Note on Synchronized Automata and Road Coloring Problem.;Juhani Karhumäki, Jarkko Kari;175-185;2001
Juhani Karhumäki;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Jarkko Kari;175-185;2001
Jarkko Kari;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Juhani Karhumäki;175-185;2001
Cezar Câmpeanu;Shuffle Quotient and Decompositions.;Kai Salomaa, Sándor Vágvölgyi;186-196;2001
Kai Salomaa;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Sándor Vágvölgyi;186-196;2001
Sándor Vágvölgyi;Shuffle Quotient and Decompositions.;Cezar Câmpeanu, Kai Salomaa;186-196;2001
Gundula Niemann;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Jens R. Woinowski;197-205;2001
Jens R. Woinowski;The Growing Context-Sensitive Languages Are the Acyclic Context-Sensitive Languages.;Gundula Niemann;197-205;2001
Dietrich Kuske;Recognizable Sets of N-Free Pomsets Are Monadically Axiomatizable.;nan;206-216;2001
Zoltán Ésik;Automata on Series-Parallel Biposets.;Zoltán L. Németh;217-227;2001
Zoltán L. Németh;Automata on Series-Parallel Biposets.;Zoltán Ésik;217-227;2001
Joost Engelfriet;Hierarchies of String Languages Generated by Deterministic Tree Transducers.;Sebastian Maneth;228-238;2001
