;Author;Title;Exist
0;Florin Manea;Bounded Prefix-Suffix Duplication.;both
1;Aleksandrs Belovs;Looking for Pairs that Hard to Separate: A Quantum Approach.;both
2;Tadeusz Dobosz;Finite-State Molecular Computing.;both
3;Jason Eisner;A Class of Rational ;left_only
4;Tullio Ceccherini-Silberstein;Cellular Automata on Regular Rooted Trees.;both
5;Francesca Fiorenzi;Cellular Automata on Regular Rooted Trees.;both
6;Étienne Lozes;Guessing the Buffer Bound for k-Synchronizability.;both
7;Damir Korencic;Enumerated Automata Implementation of String Dictionaries.;both
8;Thomas A. Henzinger;Automata for Specifying Component Interfaces.;both
9;Mathieu Caralp;Trimming Visibly Pushdown Automata.;both
10;Michiel Frishert;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;both
11;Michiel Frishert;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.;both
12;Michiel Frishert;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;both
13;Marcin Piatkowski;The Number of Runs in Sturmian Words.;both
14;Mans Hulden;From Two-Way to One-Way Finite Automata - Three Regular Expression-Based Methods.;both
15;Kees Hemerik;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.;both
16;Katja Meckel;Nondeterministic State Complexity of Star-Free Languages.;both
17;Franziska Biegler;On Comparing Deterministic Finite Automata and the Shuffle of Words.;both
18;J. Andres Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;left_only
19;Edmund Grimley-Evans;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;left_only
20;Fabien Coulon;Brute Force Determinization of NFAs by Means of State Covers.;both
21;Meenakshi Paramasivan;Jumping Finite Automata: Characterizations and Complexity.;both
22;Jan Holub;On Parallel Implementations of Deterministic Finite Automata.;both
23;Jan Holub;Finding Common Motifs with Gaps Using Finite Automata.;both
24;Jan Holub;On the Implementation of Compact DAWG's.;left_only
25;Jan Holub;Dynamic Programming - NFA Simulation.;both
26;Jan Holub;Bit Parallelism - NFA Simulation.;both
27;Jan Holub;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;left_only
28;Michael Wehar;Two-Dimensional Pattern Matching Against Basic Picture Languages.;both
29;Yu-Ru Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;both
30;Jean-Marc Champarnaud;Multi-Tilde-Bar Derivatives.;both
31;Jean-Marc Champarnaud;Regular Geometrical Languages and Tiling the Plane.;both
32;Jean-Marc Champarnaud;Small Extended Expressions for Acyclic Automata.;both
33;Jean-Marc Champarnaud;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;both
34;Jean-Marc Champarnaud;Reducing Acyclic Cover Transducers.;both
35;Jean-Marc Champarnaud;Multi-tape Automata with Symbol Classes.;both
36;Jean-Marc Champarnaud;A Class of Rational ;left_only
37;Jean-Marc Champarnaud;Brute Force Determinization of NFAs by Means of State Covers.;both
38;Jean-Marc Champarnaud;Computing the Follow Automaton of an Expression.;both
39;Jean-Marc Champarnaud;From Regular Weighted Expressions to Finite Automata.;both
40;Jean-Marc Champarnaud;Brzozowski's Derivatives Extended to Multiplicities.;left_only
41;Jean-Marc Champarnaud;Implicit Structures to Implement NFA's from Regular Expressions.;left_only
42;Jean-Marc Champarnaud;New Finite Automaton Constructions Based on Canonical Derivatives.;both
43;Jean-Marc Champarnaud;SEA: A Symbolic Environment for Automata Theory.;left_only
44;Jean-Marc Champarnaud;Determinization of Glushkov Automata.;left_only
45;Jean-Marc Champarnaud;Automata and Binary Decision Diagrams.;left_only
46;Jean-Marc Champarnaud;Autographe: A Graphical Version of Automate.;left_only
47;Jean-Marc Champarnaud;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
48;Valérie Murat;A Completion Algorithm for Lattice Tree Automata.;both
49;Daniel Neider;Reachability Games on Automatic Graphs.;both
