;Author;Title;Exist
1537;Claudia Cauli;Equivalence of Probabilistic \\mu -Calculus and p-Automata.;right_only
1538;Uwe Meyer 0003;Syntax Checking Either Way.;right_only
1539;Jesús Vilares;Robust Spelling Correction.;right_only
1540;Jesús Vilares;Robust Spelling Correction.;right_only
1541;Jesús Vilares;Robust Parsing Using Dynamic Programming.;right_only
1542;Jesús Vilares;Robust Parsing Using Dynamic Programming.;right_only
1543;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1544;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;right_only
1545;Cheng Li (disambiguation);Testability of Oracle Automata.;right_only
1546;Cheng Li (disambiguation);New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;right_only
1547;Jozef Jirásek 0002;Kuratowski Algebras Generated by Prefix-Free Languages.;right_only
1548;Ping Liu;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.;right_only
1549;Olivier Carton;On the Complexity of Hopcroft\'s State Minimization Algorithm.;right_only
1550;Martin Berglund;Ordered Context-Free Grammars.;right_only
1551;André Kempe;None;right_only
1552;Mihaela Gheorghiu Bobaru;Simulation of Gate Circuits in the Algebra of Transients.;right_only
1553;Mihaela Gheorghiu Bobaru;Feedback-Free Circuits in the Algebra of Transients.;right_only
1554;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.;right_only
1555;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.;right_only
1556;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;right_only
1557;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;right_only
1558;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.;right_only
1559;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.;right_only
1560;Lydia Rodriguez de la Nava;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;right_only
1561;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;right_only
1562;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;right_only
1563;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;right_only
1564;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;right_only
1565;Jason R. Smith 0002;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;right_only
1566;Gérard Duchamp;Brzozowski\'s Derivatives Extended to Multiplicities.;right_only
1567;Dominique Lavenier;None;right_only
1568;Andreas Malcher;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1569;Martin Kutrib;Syntax Checking Either Way.;right_only
1570;Martin Kutrib;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;right_only
1571;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;right_only
1572;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;right_only
1573;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;right_only
1574;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;right_only
1575;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;right_only
1576;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;right_only
1577;Michael Riley;On the Disambiguation of Weighted Automata.;right_only
1578;Michael Riley;On the Disambiguation of Weighted Automata.;right_only
1579;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;right_only
1580;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;right_only
1581;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;right_only
1582;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;right_only
1583;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;right_only
1584;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;right_only
1585;Martin Zimmermann 0002;Time-Optimal Winning Strategies for Poset Games.;right_only
1586;Brink van der Merwe;Ordered Context-Free Grammars.;right_only
1587;Özdeniz Dolu;Real-Time, Constant-Space, Constant-Randomness Verifiers.;right_only
1588;José N. Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;right_only
1589;Nicholas Tran;Variations of the Separating Words Problem.;right_only
1590;Laura K. Hutchinson;A Toolkit for Parikh Matrices.;right_only
1591;Paolo Massazza;None;right_only
1592;Christel Baier;None;right_only
1593;Manuel Baclet;Around Hopcroft\'s Algorithm.;right_only
1594;Sarah O\'Connor;Inside Vaucanson.;right_only
1595;Mathieu Giraud;None;right_only
