;Author;Title;Exist
3;Jason Eisner;A Class of Rational ;left_only
18;J. Andres Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;left_only
19;Edmund Grimley-Evans;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;left_only
24;Jan Holub;On the Implementation of Compact DAWG's.;left_only
27;Jan Holub;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;left_only
36;Jean-Marc Champarnaud;A Class of Rational ;left_only
40;Jean-Marc Champarnaud;Brzozowski's Derivatives Extended to Multiplicities.;left_only
41;Jean-Marc Champarnaud;Implicit Structures to Implement NFA's from Regular Expressions.;left_only
43;Jean-Marc Champarnaud;SEA: A Symbolic Environment for Automata Theory.;left_only
44;Jean-Marc Champarnaud;Determinization of Glushkov Automata.;left_only
45;Jean-Marc Champarnaud;Automata and Binary Decision Diagrams.;left_only
46;Jean-Marc Champarnaud;Autographe: A Graphical Version of Automate.;left_only
47;Jean-Marc Champarnaud;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
52;Beatrix Braune;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
53;Yanbing Liu;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
79;Andreas Kerren;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
80;Xiuming Wu;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
81;Xiuming Wu;Efficient Implementation of Regular Languages Using R-AFA.;left_only
83;Antoine Georgevail;Time Series Forecasting by Finite-State Automata.;left_only
96;Mehryar Mohri;A Rational Design for a Weighted Finite-State Transducer Library.;left_only
113;Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski's Algorithm.;left_only
115;Marinella Sciortino;On Extremal Cases of Hopcroft's Algorithm.;left_only
117;Christophe Daguin;Time Series Forecasting by Finite-State Automata.;left_only
120;Stephan Diehl;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
122;X. Xiong;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;left_only
124;Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda's.;left_only
131;Jan Daciuk;Treatment of Unknown Words.;left_only
154;Theis Rauhe;Algorithms for Guided Tree Automata.;left_only
160;A. S. M. Sohidull Islam;On Palindromic Sequence Automata and Applications.;left_only
162;Dominique Lavenier;Path-Equivalent Removals of ;left_only
165;Manuel Baclet;Around Hopcroft's Algorithm.;left_only
175;Derick Wood;Thompson Digraphs: A Characterization.;left_only
176;Derick Wood;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
177;Derick Wood;WIA and Theory and Practice.;left_only
178;Derick Wood;Instruction Computation in Subset Construction.;left_only
184;Jozef Jirásek Jr.;Kuratowski Algebras Generated by Prefix-Free Languages.;left_only
