Venue;Year;Author;URL;CoAuthorList;Title;Pagination;NoAuthor;AuthorURLs;DOI
CIAA;2014;Florin Manea;https://dblp.org/pid/67/4899.html;Marius Dumitran, Javier Gil, Florin Manea, Victor Mitrana;Bounded Prefix-Suffix Duplication.;176-187;4;https://dblp.org/pid/147/8451.html,https://dblp.org/pid/15/7673.html,https://dblp.org/pid/67/4899.html,https://dblp.org/pid/86/4985.html;10.1007/978-3-319-08846-4_13
CIAA;2016;Aleksandrs Belovs;https://dblp.org/pid/24/4309.html;Aleksandrs Belovs, J. Andres Montoya, Abuzer Yakaryilmaz;Looking for Pairs that Hard to Separate: A Quantum Approach.;213-223;3;https://dblp.org/pid/24/4309.html,https://dblp.org/pid/82/4618.html,https://dblp.org/pid/90/3379.html;10.1007/978-3-319-40946-7_18
CIAA;2003;Tadeusz Dobosz;https://dblp.org/pid/53/947.html;Olgierd Unold, Maciej Troc, Tadeusz Dobosz, Alicja Trusewicz;Finite-State Molecular Computing.;309-310;4;https://dblp.org/pid/15/3718.html,https://dblp.org/pid/20/118.html,https://dblp.org/pid/49/4233.html,https://dblp.org/pid/53/947.html;10.1007/3-540-45089-0_33
CIAA;2005;Jason Eisner;https://dblp.org/pid/37/3263.html;André Kempe, Jean-Marc Champarnaud, Jason Eisner, Franck Guingne, Florent Nicart;A Class of Rational ;188-198;5;https://dblp.org/pid/04/692.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/37/3263.html,https://dblp.org/pid/50/6237.html,https://dblp.org/pid/73/3270.html;10.1007/11605157_16
CIAA;2012;Tullio Ceccherini-Silberstein;https://dblp.org/pid/47/5900.html;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;Cellular Automata on Regular Rooted Trees.;101-112;4;https://dblp.org/pid/41/6022.html,https://dblp.org/pid/43/5101.html,https://dblp.org/pid/47/5900.html,https://dblp.org/pid/96/395.html;10.1007/978-3-642-31606-7_9
CIAA;2012;Francesca Fiorenzi;https://dblp.org/pid/43/5101.html;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;Cellular Automata on Regular Rooted Trees.;101-112;4;https://dblp.org/pid/41/6022.html,https://dblp.org/pid/43/5101.html,https://dblp.org/pid/47/5900.html,https://dblp.org/pid/96/395.html;10.1007/978-3-642-31606-7_9
CIAA;2021;Étienne Lozes;https://dblp.org/pid/69/4259.html;Cinzia Di Giusto, Laetitia Laversa, Étienne Lozes;Guessing the Buffer Bound for k-Synchronizability.;102-114;3;https://dblp.org/pid/225/6395.html,https://dblp.org/pid/69/4259.html,https://dblp.org/pid/86/6994.html;10.1007/978-3-030-79121-6_9
CIAA;2019;Damir Korencic;https://dblp.org/pid/154/2814.html;Robert Bakaric, Damir Korencic, Strahil Ristov;Enumerated Automata Implementation of String Dictionaries.;33-44;3;https://dblp.org/pid/06/5386.html,https://dblp.org/pid/154/2814.html,https://dblp.org/pid/244/2665.html;10.1007/978-3-030-23679-3_3
CIAA;2003;Thomas A. Henzinger;https://dblp.org/pid/h/ThomasAHenzinger.html;Thomas A. Henzinger;Automata for Specifying Component Interfaces.;1-2;1;https://dblp.org/pid/h/ThomasAHenzinger.html;10.1007/3-540-45089-0_1
CIAA;2013;Mathieu Caralp;https://dblp.org/pid/117/1582.html;Mathieu Caralp, Pierre-Alain Reynier, Jean-Marc Talbot;Trimming Visibly Pushdown Automata.;84-96;3;https://dblp.org/pid/117/1582.html,https://dblp.org/pid/55/5954.html,https://dblp.org/pid/t/JMTalbot.html;10.1007/978-3-642-39274-0_9
CIAA;2004;Michiel Frishert;https://dblp.org/pid/81/1215.html;Michiel Frishert, Loek G. Cleophas, Bruce W. Watson;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;125-133;3;https://dblp.org/pid/81/1215.html,https://dblp.org/pid/c/LoekCleophas.html,https://dblp.org/pid/w/BruceWWatson.html;10.1007/978-3-540-30500-2_12
