Name;Title;Co-Authors;Pagintation;Published;Venue
Yuan Gao;In Memoriam Sheng Yu.;Kai Salomaa;[<span itemprop="pagination">1-4</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Kai Salomaa;In Memoriam Sheng Yu.;Yuan Gao;[<span itemprop="pagination">1-4</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Janusz A. Brzozowski;In Search of Most Complex Regular Languages.;;[<span itemprop="pagination">5-24</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Andrzej Ehrenfeucht;A Formal Framework for Processes Inspired by the Functioning of Living Cells.;Grzegorz Rozenberg;[<span itemprop="pagination">25-27</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Grzegorz Rozenberg;A Formal Framework for Processes Inspired by the Functioning of Living Cells.;Andrzej Ehrenfeucht;[<span itemprop="pagination">25-27</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Paul Gastin;Adding Pebbles to Weighted Automata.;Benjamin Monmege;[<span itemprop="pagination">28-51</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Benjamin Monmege;Adding Pebbles to Weighted Automata.;Paul Gastin;[<span itemprop="pagination">28-51</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
José Nuno Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;;[<span itemprop="pagination">52-65</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Cyril Allauzen;A Pushdown Transducer Extension for the OpenFst Library.;Michael Riley;[<span itemprop="pagination">66-77</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.;Cyril Allauzen;[<span itemprop="pagination">66-77</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Joshua Amavi;Weak Inclusion for Recursive XML Types.;Jacques Chabin, Pierre Réty;[<span itemprop="pagination">78-89</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Jacques Chabin;Weak Inclusion for Recursive XML Types.;Joshua Amavi, Pierre Réty;[<span itemprop="pagination">78-89</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pierre Réty;Weak Inclusion for Recursive XML Types.;Joshua Amavi, Jacques Chabin;[<span itemprop="pagination">78-89</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Mikhail V. Berlinkov;Synchronizing Automata on Quasi-Eulerian Digraph.;;[<span itemprop="pagination">90-100</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Tullio Ceccherini-Silberstein;Cellular Automata on Regular Rooted Trees.;Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;[<span itemprop="pagination">101-112</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Michel Coornaert;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Francesca Fiorenzi, Zoran Sunic;[<span itemprop="pagination">101-112</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Francesca Fiorenzi;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Michel Coornaert, Zoran Sunic;[<span itemprop="pagination">101-112</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Zoran Sunic;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi;[<span itemprop="pagination">101-112</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Stefano Crespi-Reghizzi;Strict Local Testability with Consensus Equals Regularity.;Pierluigi San Pietro;[<span itemprop="pagination">113-124</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pierluigi San Pietro;Strict Local Testability with Consensus Equals Regularity.;Stefano Crespi-Reghizzi;[<span itemprop="pagination">113-124</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pierpaolo Degano;Nominal Automata for Resource Usage Control.;Gian Luigi Ferrari, Gianluca Mezzetti;[<span itemprop="pagination">125-137</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Gian Luigi Ferrari;Nominal Automata for Resource Usage Control.;Pierpaolo Degano, Gianluca Mezzetti;[<span itemprop="pagination">125-137</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Gianluca Mezzetti;Nominal Automata for Resource Usage Control.;Pierpaolo Degano, Gian Luigi Ferrari;[<span itemprop="pagination">125-137</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Manfred Droste;Weighted Nested Word Automata and Logics over Strong Bimonoids.;Bundit Pibaljommee;[<span itemprop="pagination">138-148</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Bundit Pibaljommee;Weighted Nested Word Automata and Logics over Strong Bimonoids.;Manfred Droste;[<span itemprop="pagination">138-148</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Simone Faro;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.;Thierry Lecroq;[<span itemprop="pagination">149-158</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Thierry Lecroq;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.;Simone Faro;[<span itemprop="pagination">149-158</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Fedor M. Fominykh;P(l)aying for Synchronization.;Mikhail V. Volkov;[<span itemprop="pagination">159-170</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Mikhail V. Volkov;P(l)aying for Synchronization.;Fedor M. Fominykh;[<span itemprop="pagination">159-170</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Vladimir V. Gusev;Synchronizing Automata of Bounded Rank.;;[<span itemprop="pagination">171-179</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Daniel Goc;Automatic Theorem-Proving in Combinatorics on Words.;Dane Henshall, Jeffrey O. Shallit;[<span itemprop="pagination">180-191</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Dane Henshall;Automatic Theorem-Proving in Combinatorics on Words.;Daniel Goc, Jeffrey O. Shallit;[<span itemprop="pagination">180-191</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Jeffrey O. Shallit;Automatic Theorem-Proving in Combinatorics on Words.;Daniel Goc, Dane Henshall;[<span itemprop="pagination">180-191</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Oscar H. Ibarra;How to Synchronize the Heads of a Multitape Automaton.;Nicholas Q. Trân;[<span itemprop="pagination">192-204</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Nicholas Q. Trân;How to Synchronize the Heads of a Multitape Automaton.;Oscar H. Ibarra;[<span itemprop="pagination">192-204</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Franz Jahn;Regular Ideal Languages and Their Boolean Combinations.;Manfred Kufleitner, Alexander Lauser;[<span itemprop="pagination">205-216</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Manfred Kufleitner;Regular Ideal Languages and Their Boolean Combinations.;Franz Jahn, Alexander Lauser;[<span itemprop="pagination">205-216</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Alexander Lauser;Regular Ideal Languages and Their Boolean Combinations.;Franz Jahn, Manfred Kufleitner;[<span itemprop="pagination">205-216</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Artur Jez;Hyper-minimization for Deterministic Tree Automata.;Andreas Maletti;[<span itemprop="pagination">217-228</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Andreas Maletti;Hyper-minimization for Deterministic Tree Automata.;Artur Jez;[<span itemprop="pagination">217-228</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Galina Jirásková;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;Tomás Masopust;[<span itemprop="pagination">229-239</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Tomás Masopust;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;Galina Jirásková;[<span itemprop="pagination">229-239</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Ines Klimann;Implementing Computations in Automaton (Semi)groups.;Jean Mairesse, Matthieu Picantin;[<span itemprop="pagination">240-252</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Jean Mairesse;Implementing Computations in Automaton (Semi)groups.;Ines Klimann, Matthieu Picantin;[<span itemprop="pagination">240-252</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Matthieu Picantin;Implementing Computations in Automaton (Semi)groups.;Ines Klimann, Jean Mairesse;[<span itemprop="pagination">240-252</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Martin Kutrib;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;Friedrich Otto;[<span itemprop="pagination">253-264</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Friedrich Otto;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;Martin Kutrib;[<span itemprop="pagination">253-264</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Mehryar Mohri;A Disambiguation Algorithm for Finite Automata and Functional Transducers.;;[<span itemprop="pagination">265-277</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Pavel V. Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;;[<span itemprop="pagination">278-288</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Daniel Prusa;Restarting Tiling Automata.;Frantisek Mráz;[<span itemprop="pagination">289-300</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Frantisek Mráz;Restarting Tiling Automata.;Daniel Prusa;[<span itemprop="pagination">289-300</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Andreas Reuß;None;Helmut Seidl;[<span itemprop="pagination">301-312</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
Helmut Seidl;None;Andreas Reuß;[<span itemprop="pagination">301-312</span>];[<meta content="2012" itemprop="datePublished"/>];<title>dblp: CIAA 2012</title>
