Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Pavel Alaev;Complexity Issues for the Iterated h-Preorders.;Victor L. Selivanov;[<span itemprop="pagination">1-12</span>];[<meta content="2021" itemprop="datePublished"/>]
Victor L. Selivanov;Complexity Issues for the Iterated h-Preorders.;Pavel Alaev;[<span itemprop="pagination">1-12</span>];[<meta content="2021" itemprop="datePublished"/>]
Sabine Broda;On the Uniform Distribution of Regular Expressions.;António Machiavelo, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">13-25</span>];[<meta content="2021" itemprop="datePublished"/>]
António Machiavelo;On the Uniform Distribution of Regular Expressions.;Sabine Broda, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">13-25</span>];[<meta content="2021" itemprop="datePublished"/>]
Nelma Moreira;On the Uniform Distribution of Regular Expressions.;Sabine Broda, António Machiavelo, Rogério Reis;[<span itemprop="pagination">13-25</span>];[<meta content="2021" itemprop="datePublished"/>]
Rogério Reis;On the Uniform Distribution of Regular Expressions.;Sabine Broda, António Machiavelo, Nelma Moreira;[<span itemprop="pagination">13-25</span>];[<meta content="2021" itemprop="datePublished"/>]
Viliam Geffert;Deterministic One-Way Simulation of Two-Way Deterministic Finite Automata over Small Alphabets.;Alexander Okhotin;[<span itemprop="pagination">26-37</span>];[<meta content="2021" itemprop="datePublished"/>]
Alexander Okhotin;Deterministic One-Way Simulation of Two-Way Deterministic Finite Automata over Small Alphabets.;Viliam Geffert;[<span itemprop="pagination">26-37</span>];[<meta content="2021" itemprop="datePublished"/>]
Stefan Hoffmann;Sync-Maximal Permutation Groups Equal Primitive Permutation Groups.;;[<span itemprop="pagination">38-50</span>];[<meta content="2021" itemprop="datePublished"/>]
Stefan Hoffmann;Commutative Regular Languages with Product-Form Minimal Automata.;;[<span itemprop="pagination">51-63</span>];[<meta content="2021" itemprop="datePublished"/>]
Stefan Hoffmann;State Complexity Investigations on Commutative Languages - the Upward and Downward Closure, Commutative Aperiodic and Commutative Group Languages.;;[<span itemprop="pagination">64-75</span>];[<meta content="2021" itemprop="datePublished"/>]
Markus Holzer;More on the Descriptional Complexity of Products of Finite Automata.;Christian Rauch;[<span itemprop="pagination">76-87</span>];[<meta content="2021" itemprop="datePublished"/>]
Christian Rauch;More on the Descriptional Complexity of Products of Finite Automata.;Markus Holzer;[<span itemprop="pagination">76-87</span>];[<meta content="2021" itemprop="datePublished"/>]
Chris Keeler;Width Measures of Alternating Finite Automata.;Kai Salomaa;[<span itemprop="pagination">88-99</span>];[<meta content="2021" itemprop="datePublished"/>]
Kai Salomaa;Width Measures of Alternating Finite Automata.;Chris Keeler;[<span itemprop="pagination">88-99</span>];[<meta content="2021" itemprop="datePublished"/>]
Stavros Konstantinidis;Partial Derivative Automaton by Compressing Regular Expressions.;António Machiavelo, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">100-112</span>];[<meta content="2021" itemprop="datePublished"/>]
António Machiavelo;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">100-112</span>];[<meta content="2021" itemprop="datePublished"/>]
Nelma Moreira;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, António Machiavelo, Rogério Reis;[<span itemprop="pagination">100-112</span>];[<meta content="2021" itemprop="datePublished"/>]
Rogério Reis;Partial Derivative Automaton by Compressing Regular Expressions.;Stavros Konstantinidis, António Machiavelo, Nelma Moreira;[<span itemprop="pagination">100-112</span>];[<meta content="2021" itemprop="datePublished"/>]
Martin Kutrib;State Complexity of Partial Word Finite Automata.;Matthias Wendlandt;[<span itemprop="pagination">113-124</span>];[<meta content="2021" itemprop="datePublished"/>]
Matthias Wendlandt;State Complexity of Partial Word Finite Automata.;Martin Kutrib;[<span itemprop="pagination">113-124</span>];[<meta content="2021" itemprop="datePublished"/>]
Olga Martynova;State Complexity of Union and Intersection on Graph-Walking Automata.;Alexander Okhotin;[<span itemprop="pagination">125-136</span>];[<meta content="2021" itemprop="datePublished"/>]
Alexander Okhotin;State Complexity of Union and Intersection on Graph-Walking Automata.;Olga Martynova;[<span itemprop="pagination">125-136</span>];[<meta content="2021" itemprop="datePublished"/>]
Jean Néraud;Gray Cycles of Maximum Length Related to k-Character Substitutions.;;[<span itemprop="pagination">137-149</span>];[<meta content="2021" itemprop="datePublished"/>]
Alexander A. Rubtsov;Automata Equipped with Auxiliary Data Structures and Regular Realizability Problems.;Mikhail N. Vyalyi;[<span itemprop="pagination">150-162</span>];[<meta content="2021" itemprop="datePublished"/>]
Mikhail N. Vyalyi;Automata Equipped with Auxiliary Data Structures and Regular Realizability Problems.;Alexander A. Rubtsov;[<span itemprop="pagination">150-162</span>];[<meta content="2021" itemprop="datePublished"/>]
Kevin Stier;Disambiguation of Weighted Tree Automata.;Markus Ulbricht;[<span itemprop="pagination">163-175</span>];[<meta content="2021" itemprop="datePublished"/>]
Markus Ulbricht;Disambiguation of Weighted Tree Automata.;Kevin Stier;[<span itemprop="pagination">163-175</span>];[<meta content="2021" itemprop="datePublished"/>]
Stefan Kiefer;Image-Binary Automata.;Cas Widdershoven;[<span itemprop="pagination">176-187</span>];[<meta content="2021" itemprop="datePublished"/>]
Cas Widdershoven;Image-Binary Automata.;Stefan Kiefer;[<span itemprop="pagination">176-187</span>];[<meta content="2021" itemprop="datePublished"/>]
Abuzer Yakaryilmaz;Improved Constructions for Succinct Affine Automata.;;[<span itemprop="pagination">188-199</span>];[<meta content="2021" itemprop="datePublished"/>]
Shaull Almagor;Sensing as a Complexity Measure.;Denis Kuperberg, Orna Kupferman;[<span itemprop="pagination">3-15</span>];[<meta content="2017" itemprop="datePublished"/>]
Denis Kuperberg;Sensing as a Complexity Measure.;Shaull Almagor, Orna Kupferman;[<span itemprop="pagination">3-15</span>];[<meta content="2017" itemprop="datePublished"/>]
Orna Kupferman;Sensing as a Complexity Measure.;Shaull Almagor, Denis Kuperberg;[<span itemprop="pagination">3-15</span>];[<meta content="2017" itemprop="datePublished"/>]
Marcella Anselmo;Avoiding Overlaps in Pictures.;Dora Giammarresi, Maria Madonia;[<span itemprop="pagination">16-32</span>];[<meta content="2017" itemprop="datePublished"/>]
Dora Giammarresi;Avoiding Overlaps in Pictures.;Marcella Anselmo, Maria Madonia;[<span itemprop="pagination">16-32</span>];[<meta content="2017" itemprop="datePublished"/>]
Maria Madonia;Avoiding Overlaps in Pictures.;Marcella Anselmo, Dora Giammarresi;[<span itemprop="pagination">16-32</span>];[<meta content="2017" itemprop="datePublished"/>]
Jürgen Dassow;Descriptional Complexity and Operations - Two Non-classical Cases.;;[<span itemprop="pagination">33-44</span>];[<meta content="2017" itemprop="datePublished"/>]
Stavros Konstantinidis;Applications of Transducers in Independent Languages, Word Distances, Codes.;;[<span itemprop="pagination">45-62</span>];[<meta content="2017" itemprop="datePublished"/>]
