Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Cristian Calude;Automata: From Uncertainty to Quantum.;Elena Calude;[<span itemprop="pagination">1-14</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_1;Automata are simple mathematical objects with unexpected computational, mathematical, modelling and explanatory capabilities. This paper examines some relations between automata and physics. Automata will be used to model quantum uncertainty and quantum computation. Finally, mathematical proofs will be discussed from the perspective of quantum automata.
Elena Calude;Automata: From Uncertainty to Quantum.;Cristian Calude;[<span itemprop="pagination">1-14</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_1;Automata are simple mathematical objects with unexpected computational, mathematical, modelling and explanatory capabilities. This paper examines some relations between automata and physics. Automata will be used to model quantum uncertainty and quantum computation. Finally, mathematical proofs will be discussed from the perspective of quantum automata.
Christian Choffrut;Elementary Theory of Ordinals with Addition and Left Translation by omega.;;[<span itemprop="pagination">15-20</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_2;After Büchi it has become very natural to interprete formulae of certain logical theories as finite automata, i.e., as recognizing devices. This recognition aspect though, was neglected by the inventor of the concept and the study of the families of linear structures that could be accepted in the language theory sense of the term, was carried out by other authors. The most popular field of application of Büchi type automata is nowadays connected with model checking by considering a process as a possibly infinite sequence of events. For over a decade, the original model has been enriched by adding a time parameter in order to model reactive systems and their properties. Originally Büchi was interested in the monadic second order theory with the successor over ω but he later considered the theory of countable ordinals for which he was led to propose new notions of finite automata. Again these constructs can be viewed as recognizing devices ofwords over a finite alphabet whose length are countable ordinals. They were studied by other authors, mainly Choueka and Wojciechowski to who we owe two Theorems “à la Kleene” asserting the equivalence between expressions using suitable rational operators and subsets (languages) of transfinite words, [6] and [13].
Zoltán Ésik;The Equational Theory of Fixed Points with Applications to Generalized Language Theory.;;[<span itemprop="pagination">21-36</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_3;We review the rudiments of the equational logic of (least) fixed points and provide some of its applications for axiomatization problems with respect to regular languages, tree languages, and synchronization trees.
Thomas Eiter;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Georg Gottlob, Thomas Schwentick;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_4;By a well-known result due to Büchi and Trakhtenbrot, all monadic second-order sentences over words describe regular languages. In this paper, we investigate prefix classes of general second-order logic. Such a prefix class is called regular, if each of its sentences describes a regular language, and nonregular otherwise. Recently, the regular and nonregular prefix classes of existential second order logic (Σ11) were exhaustively determined. We briefly recall these results and continue this line of research by systematically investigating the syntactically more complex prefix classes Σ1k(Q) of second-order logic for each integer k &gt. 1 and for each first-order quantifier prefix Q. We give an exhaustive classification of the regular and nonregular prefix classes of this form, and derive of complexity results for the corresponding model checking problems. We also give a brief survey of recent results on the complexity of evaluating existential second-order logic over graphs, and a list of interesting open problems.
Georg Gottlob;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Thomas Schwentick;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_4;By a well-known result due to Büchi and Trakhtenbrot, all monadic second-order sentences over words describe regular languages. In this paper, we investigate prefix classes of general second-order logic. Such a prefix class is called regular, if each of its sentences describes a regular language, and nonregular otherwise. Recently, the regular and nonregular prefix classes of existential second order logic (Σ11) were exhaustively determined. We briefly recall these results and continue this line of research by systematically investigating the syntactically more complex prefix classes Σ1k(Q) of second-order logic for each integer k &gt. 1 and for each first-order quantifier prefix Q. We give an exhaustive classification of the regular and nonregular prefix classes of this form, and derive of complexity results for the corresponding model checking problems. We also give a brief survey of recent results on the complexity of evaluating existential second-order logic over graphs, and a list of interesting open problems.
Thomas Schwentick;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Georg Gottlob;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_4;By a well-known result due to Büchi and Trakhtenbrot, all monadic second-order sentences over words describe regular languages. In this paper, we investigate prefix classes of general second-order logic. Such a prefix class is called regular, if each of its sentences describes a regular language, and nonregular otherwise. Recently, the regular and nonregular prefix classes of existential second order logic (Σ11) were exhaustively determined. We briefly recall these results and continue this line of research by systematically investigating the syntactically more complex prefix classes Σ1k(Q) of second-order logic for each integer k &gt. 1 and for each first-order quantifier prefix Q. We give an exhaustive classification of the regular and nonregular prefix classes of this form, and derive of complexity results for the corresponding model checking problems. We also give a brief survey of recent results on the complexity of evaluating existential second-order logic over graphs, and a list of interesting open problems.
Tero Harju;Decision Questions on Integer Matrices.;;[<span itemprop="pagination">57-68</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_5;We give a survey of simple undecidability results and open problems concerning matrices of low order with integer entries. Connections to the theory of finite automata (with multiplicities) are also provided.
Masami Ito;Some Petri Net Languages and Codes.;Yoshiyuki Kunimoch;[<span itemprop="pagination">69-80</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_6;In this paper, we consider the language over an alphabet T generated by a given Petri net with a positive initial marking, called a CPN language. This language becomes a prefix code over T. We are interested in CPN languages which are maximal prefix codes, called mCPN languages over T. We will investigate various properties of mCPN languages. Moreover, we will prove that a CPN language is a context-sensitive language in two different ways.
Yoshiyuki Kunimoch;Some Petri Net Languages and Codes.;Masami Ito;[<span itemprop="pagination">69-80</span>];[<meta content="2001" itemprop="datePublished"/>];https://doi.org/10.1007/3-540-46011-X_6;In this paper, we consider the language over an alphabet T generated by a given Petri net with a positive initial marking, called a CPN language. This language becomes a prefix code over T. We are interested in CPN languages which are maximal prefix codes, called mCPN languages over T. We will investigate various properties of mCPN languages. Moreover, we will prove that a CPN language is a context-sensitive language in two different ways.
