Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Cristian Calude;Automata: From Uncertainty to Quantum.;Elena Calude;[<span itemprop="pagination">1-14</span>];[<meta content="2001" itemprop="datePublished"/>]
Elena Calude;Automata: From Uncertainty to Quantum.;Cristian Calude;[<span itemprop="pagination">1-14</span>];[<meta content="2001" itemprop="datePublished"/>]
Christian Choffrut;Elementary Theory of Ordinals with Addition and Left Translation by omega.;;[<span itemprop="pagination">15-20</span>];[<meta content="2001" itemprop="datePublished"/>]
Zoltán Ésik;The Equational Theory of Fixed Points with Applications to Generalized Language Theory.;;[<span itemprop="pagination">21-36</span>];[<meta content="2001" itemprop="datePublished"/>]
Thomas Eiter;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Georg Gottlob, Thomas Schwentick;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>]
Georg Gottlob;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Thomas Schwentick;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>]
Thomas Schwentick;Second-Order Logic over Strings: Regular and Non-regular Fragments.;Thomas Eiter, Georg Gottlob;[<span itemprop="pagination">37-56</span>];[<meta content="2001" itemprop="datePublished"/>]
Tero Harju;Decision Questions on Integer Matrices.;;[<span itemprop="pagination">57-68</span>];[<meta content="2001" itemprop="datePublished"/>]
Masami Ito;Some Petri Net Languages and Codes.;Yoshiyuki Kunimoch;[<span itemprop="pagination">69-80</span>];[<meta content="2001" itemprop="datePublished"/>]
Yoshiyuki Kunimoch;Some Petri Net Languages and Codes.;Masami Ito;[<span itemprop="pagination">69-80</span>];[<meta content="2001" itemprop="datePublished"/>]
Helmut Prodinger;Words, Permutations, and Representations of Numbers.;;[<span itemprop="pagination">81-99</span>];[<meta content="2001" itemprop="datePublished"/>]
Alexander A. Razborov;Proof Complexity of Pigeonhole Principles.;;[<span itemprop="pagination">100-116</span>];[<meta content="2001" itemprop="datePublished"/>]
Antonio Restivo;Words and Patterns.;Sergio Salemi;[<span itemprop="pagination">117-129</span>];[<meta content="2001" itemprop="datePublished"/>]
Sergio Salemi;Words and Patterns.;Antonio Restivo;[<span itemprop="pagination">117-129</span>];[<meta content="2001" itemprop="datePublished"/>]
Wolfgang Thomas;A Short Introduction to Infinite Automata.;;[<span itemprop="pagination">130-144</span>];[<meta content="2001" itemprop="datePublished"/>]
Thierry Cachat;The Power of One-Letter Rational Languages.;;[<span itemprop="pagination">145-154</span>];[<meta content="2001" itemprop="datePublished"/>]
Ludwig Staiger;The Entropy of Lukasiewicz-Languages.;;[<span itemprop="pagination">155-165</span>];[<meta content="2001" itemprop="datePublished"/>]
Dimitry S. Ananichev;Collapsing Words vs. Synchronizing Words.;Mikhail V. Volkov;[<span itemprop="pagination">166-174</span>];[<meta content="2001" itemprop="datePublished"/>]
Mikhail V. Volkov;Collapsing Words vs. Synchronizing Words.;Dimitry S. Ananichev;[<span itemprop="pagination">166-174</span>];[<meta content="2001" itemprop="datePublished"/>]
Karel Culík II;A Note on Synchronized Automata and Road Coloring Problem.;Juhani Karhumäki, Jarkko Kari;[<span itemprop="pagination">175-185</span>];[<meta content="2001" itemprop="datePublished"/>]
Juhani Karhumäki;A Note on Synchronized Automata and Road Coloring Problem.;Karel Culík II, Jarkko Kari;[<span itemprop="pagination">175-185</span>];[<meta content="2001" itemprop="datePublished"/>]
